AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,Pollution_Complexity_Score,Country_Code,City,Country
-0.374832456993287,-0.20107110354971805,0.028695536328492397,-0.5830483105713736,-0.31973111496244455,-0.28269521025784655,0.7637676731256005,Praskoveya,Russian Federation
-0.5532317757952111,-0.20107110354971805,-1.0745809429577966,-0.3927170060713926,-0.5022286007764948,-0.8440114647191241,-1.3376515995401383,Presidente Dutra,Brazil
-0.1072334787904008,-0.20107110354971805,0.13546422787232681,-0.20238570157141153,-0.04598488624136925,-0.002037083027207759,-0.30639954906528505,Priolo Gargallo,Italy
-0.678111298956558,-0.20107110354971805,-0.042483591367397225,-0.5830483105713736,-0.8854733209860002,-0.7457811201884006,0.6275645721194877,Przasnysz,Poland
-0.8921904815188669,-0.746915289895551,-0.46955835754273495,-0.5830483105713736,-1.1409698011256704,-1.124669591949763,-0.7150088520836231,Punaauia,France
-0.32131266135270975,-0.20107110354971805,-0.7542748683262934,1.510596038928418,-0.26498186921822947,-0.3949584611501021,1.46424076401418,Punta Gorda,United States of America
-0.17859320631117045,-0.20107110354971805,-0.006894027519452412,-0.012054397071430436,-0.11898388056698933,-0.10026742755793133,-0.6371785086515588,Puttlingen,Germany
-0.1429133425507856,-0.20107110354971805,-0.22043141060712126,0.7492708209284938,-0.0824843834041793,-0.10026742755793133,-1.473854700546251,Puurs,Belgium
-0.32131266135270975,-0.20107110354971805,0.20664335556821645,-0.3927170060713926,-0.26498186921822947,-0.1563990530040591,0.7637676731256005,Pyatigorsk,Russian Federation
1.2486013441042225,0.8906172691419478,1.9149424202695673,1.129933429928456,1.3409960059454122,1.892405275779604,-0.8512119530897359,Qalyub,Egypt
-0.07155361503001596,0.34477308279611485,1.1675615794627263,-0.3927170060713926,-0.1919828748926094,0.29265395056496296,-1.1236181551019613,Qinzhou,China
-0.5532317757952111,-0.20107110354971805,-0.3983792298468453,0.5589395164285128,-0.5022286007764948,-0.5072217120423576,0.35515837010726237,Raalte,Netherlands
1.5340402541873013,0.8906172691419478,3.6944206126668075,-0.3927170060713926,1.6329919832478925,2.7063138447484563,-0.42314506421338166,Radaur,India
1.5340402541873013,-0.20107110354971805,0.5269494301997197,-0.3927170060713926,1.6329919832478925,1.42931936584905,0.491361471113375,Radhan,Pakistan
0.19604536317287022,-0.20107110354971805,0.3845911748079405,-0.5830483105713736,0.2642608396425161,0.3066868569264949,0.7248525014095683,Radovis,Republic of North Macedonia
-0.23211300195174767,-0.20107110354971805,-0.18484184675917645,0.17827690742855065,-0.17373312631120438,-0.1984977720886549,-0.7150088520836231,Raismes,France
1.4626805266665315,0.8906172691419478,2.30642762259696,-0.20238570157141153,1.5599929889222726,2.116931777564115,-0.42314506421338166,Rajgir,India
-0.30347272947251736,-0.20107110354971805,0.4201807386558853,-0.5830483105713736,-0.24673212063682448,-0.07220161483486745,-0.30639954906528505,Ramacca,Italy
-0.0001938875092463137,-0.20107110354971805,-1.1101705068057415,3.794571692928191,0.06351360524706087,-0.11430033391946327,1.46424076401418,Phoenix,United States of America
1.5875600498278784,0.34477308279611485,1.2743302710065607,-0.5830483105713736,1.6877412289921077,1.7661091185258166,-0.42314506421338166,Phulabani,India
-0.7851508902377125,-0.20107110354971805,-0.25602097445506605,-0.20238570157141153,-0.73947533233476,-0.6896494947422728,0.6275645721194877,Piaseczno,Poland
0.8204429789796047,0.34477308279611485,-0.18484184675917645,-0.20238570157141153,0.9030020399916918,0.6154107968801976,-0.42314506421338166,Pimpri,India
-0.6959512308367504,-0.746915289895551,-0.8966331237180727,-0.3927170060713926,-0.6482265894277349,-0.9001430901652518,-1.3376515995401383,Pindobacu,Brazil
1.391320799145762,0.8906172691419478,2.1284798033572363,0.5589395164285128,1.4869939945966524,2.046767245756455,-1.1236181551019613,Pingyin,China
1.4626805266665315,1.9823056418336136,-1.2525287621975207,1.8912586479283804,1.5599929889222726,0.8960689241108364,-1.3376515995401383,Pinheiral,Brazil
0.1603654994124854,-0.20107110354971805,-0.3983792298468453,-0.3927170060713926,0.22776134247970606,-0.0160699893887397,-0.42314506421338166,Piravam,India
-0.08939354691020837,-0.20107110354971805,-0.6830957406304038,-0.20238570157141153,-0.02773513765996423,-0.3107610229809104,-1.1041605692439451,Plato,Colombia
-0.17859320631117045,-0.20107110354971805,0.06428510017643721,-0.3927170060713926,-0.11898388056698933,-0.10026742755793133,0.7443100872675843,Poiana Mare,Romania
-0.7316310945971353,-0.20107110354971805,-0.14925228291123166,-0.5830483105713736,-0.9402225667302152,-0.8299785583575922,0.7637676731256005,Polevskoy,Russian Federation
-0.2856327975923249,-0.20107110354971805,-0.006894027519452412,-0.5830483105713736,-0.22848237205541946,-0.2265635848117188,-0.7150088520836231,Pontarlier,France
0.08900577189171575,0.34477308279611485,-0.46955835754273495,2.2719212569283425,0.154762348154086,0.11022616786504776,1.46424076401418,Pontiac,United States of America
-0.49971198015463386,-0.20107110354971805,-0.7186853044783486,-0.5830483105713736,-0.4474793550322797,-0.6756165883807409,-0.40368747835536556,Pontianak,Indonesia
-0.7494710264773277,-0.20107110354971805,-0.9322226875660174,-0.20238570157141153,-0.70297583517195,-0.9282089028883158,-1.3376515995401383,Porecatu,Brazil
-0.7494710264773277,-0.20107110354971805,-0.18484184675917645,-0.3927170060713926,-0.9767220638930253,-0.858044371080656,-0.7344664379416392,Pori,Finland
0.12468563565210057,0.8906172691419478,-0.6119166129345142,0.3686082119285317,0.19126184531689602,-0.044135802111803575,1.0361738751378258,Port Elizabeth,South Africa
